budget,epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
100,10,1.811153108774409,0.013215140007358447,0.021321422551828756,0.017364705449279542,0.03432777122310242,0.022544917042724825,0.05486263273217597,0.030575015039224957,0.09548289229732007
100,20,1.7871899234782025,0.014053228020115714,0.02216416652620934,0.018645484459342637,0.03651890555649194,0.02365554346867807,0.056520029215124445,0.03126401398814338,0.09506152031012978
100,30,1.7770907806481426,0.012570074681504834,0.01963593460306759,0.016791877249581123,0.03292319793246812,0.022159296117053816,0.05430080341592224,0.03065499463796572,0.09733692904095735
100,40,1.7669117618025394,0.014102731307561307,0.022473172650148886,0.0183207332070379,0.03561997865048598,0.02343559581089393,0.05604247429630878,0.031733137044857924,0.09798303275464913
100,50,1.764319156989073,0.012927779153875073,0.02056295297488623,0.017699447001821567,0.035479521321422555,0.022952113212899732,0.0564076633518737,0.03123730423179894,0.098263947412776
100,60,1.7507667802123406,0.01394788314121568,0.021967526265520534,0.0187520532780979,0.036912186077869544,0.02386105234695023,0.057250407326254284,0.03260271569357136,0.10143828304960953
100,70,1.7388427329932148,0.014427254990489026,0.022894544637339177,0.018977710402927103,0.03708073487274566,0.024403582144121166,0.05871116354851396,0.032822908867850796,0.10124164278892073
100,80,1.728589447886355,0.014596612092969943,0.02314736782965335,0.019035324929620685,0.03696836900949491,0.024121808481067382,0.05727849879206697,0.0327366105966337,0.10084836226754312
100,90,1.719843361702686,0.014212021002480646,0.02199561773133322,0.01908158883537846,0.03705264340693298,0.024633682137197962,0.05913253553570425,0.0331318667390262,0.10205629529748862
100,100,1.7106262360185425,0.014764929700583313,0.022754087308275744,0.01951435301704305,0.03750210685993595,0.025017202862677206,0.05938535872801843,0.03366806259604716,0.1031237709983707
200,20,1.7871899234782025,0.014053228020115714,0.02216416652620934,0.018645484459342637,0.03651890555649194,0.02365554346867807,0.056520029215124445,0.03126401398814338,0.09506152031012978
200,40,1.7669117618025394,0.014102731307561307,0.022473172650148886,0.0183207332070379,0.03561997865048598,0.02343559581089393,0.05604247429630878,0.031733137044857924,0.09798303275464913
200,60,1.7507667802123406,0.01394788314121568,0.021967526265520534,0.0187520532780979,0.036912186077869544,0.02386105234695023,0.057250407326254284,0.03260271569357136,0.10143828304960953
200,80,1.728589447886355,0.014596612092969943,0.02314736782965335,0.019035324929620685,0.03696836900949491,0.024121808481067382,0.05727849879206697,0.0327366105966337,0.10084836226754312
200,100,1.7106262360185425,0.014764929700583313,0.022754087308275744,0.01951435301704305,0.03750210685993595,0.025017202862677206,0.05938535872801843,0.03366806259604716,0.1031237709983707
200,120,1.6904868035503084,0.015278935490463877,0.02401820326984662,0.02006665887469195,0.03885049721894489,0.02523132525757665,0.05935726726220574,0.033976230431862674,0.10357323445137367
200,140,1.6744648863268607,0.015070126577378709,0.023568739816843643,0.019907710642192315,0.03868194842406877,0.02524529098565525,0.05994718804427215,0.0336643247945654,0.10259003314792967
200,160,1.6642258831685692,0.014936072557682693,0.02328782515871678,0.019708337783743358,0.03814821057362773,0.025026362805318836,0.059329175796393054,0.03362975545897855,0.10284285634024383
200,180,1.6510479009424948,0.014629915068260639,0.02258553851339963,0.019293437082575627,0.03716500927018372,0.02460556862141708,0.05831788302713636,0.03323213730313328,0.10188774650261251
200,200,1.6431338251360998,0.014747503132404988,0.02331591662452947,0.01915678927152659,0.03708073487274566,0.024632706365748616,0.05887971234339008,0.032835994823995074,0.10031462441710208
